ID,Original,UpperCase
11150,A partir,A Partir
11151,Ab-rogação,Ab Rogação
11152,Abaixo,Abaixo
11153,Abalo de crédito,Abalo de Crédito
11154,Abalo emocional,Abalo Emocional
11155,Abalroamento,Abalroamento
11156,Abalroamento por trás,Abalroamento por Trás
11157,Abandono afetivo,Abandono Afetivo
11158,Abandono coletivo de trabalho,Abandono Coletivo de Trabalho
11159,Abandono da causa,Abandono da Causa
11160,Abandono de animal em propriedade alheia,Abandono de Animal em Propriedade Alheia
11161,Abandono de cargo,Abandono de Cargo
11162,Abandono de emprego,Abandono de Emprego
11163,Abandono de incapaz,Abandono de Incapaz
11164,Abandono de lavoura,Abandono de Lavoura
11165,Abandono de menor,Abandono de Menor
11166,Abandono de mercadoria,Abandono de Mercadoria
11167,Abandono de posto,Abandono de Posto
11168,Abandono de recém-nascido,Abandono de Recém-Nascido
11169,Abandono do lar conjugal,Abandono do Lar Conjugal
11170,Abandono intelectual,Abandono Intelectual
11171,Abandono material,Abandono Material
11172,Abastecimento,Abastecimento
11173,Abatimento,Abatimento
11174,Aberratio delicti,Aberratio Delicti
11175,Aberratio ictus,Aberratio Ictus
11176,Abertura,Abertura
11177,Abertura da sucessão,Abertura da Sucessão
11178,Abertura de crédito,Abertura de Crédito
11179,Abertura de testamento,Abertura de Testamento
11180,Abigeato,Abigeato
11181,Abolitio criminis,Abolitio Criminis
11182,Abono anual,Abono Anual
11183,Abono de faltas,Abono de Faltas
11184,Abono de permanência em serviço,Abono de Permanência em Serviço
11185,Abono especial,Abono Especial
11186,Abono pecuniário,Abono Pecuniário
11187,Abono por assiduidade,Abono por Assiduidade
11188,Abono previdenciário,Abono Previdenciário
11189,Abono-família,Abono Família
11190,Abordagem policial,Abordagem Policial
11191,Aborto,Aborto
11192,Aborto necessário,Aborto Necessário
11193,Aborto provocado,Aborto Provocado
11194,Abrangência,Abrangência
11195,Abril,Abril
11196,Absoluta impropriedade do objeto,Absoluta Impropriedade do Objeto
11197,Absolutamente incapaz,Absolutamente Incapaz
11198,Absolvição,Absolvição
11199,Absolvição sumária,Absolvição Sumária
11200,Absorção,Absorção
11201,Absorção de crime,Absorção de Crime
11202,Abstenção,Abstenção
11203,Abuso de autoridade,Abuso de Autoridade
11204,Abuso de confiança,Abuso de Confiança
11205,Abuso de direito,Abuso de Direito
11206,Abuso de direito de defesa,Abuso de Direito de Defesa
11207,Abuso de incapaz,Abuso de Incapaz
11208,Abuso de poder,Abuso de Poder
11209,Abuso do poder econômico,Abuso do Poder Econômico
11210,Abuso do poder familiar,Abuso do Poder Familiar
11211,Abuso na administração de sociedade por ações,Abuso na Administração de Sociedade por Ações
11212,Abuso na fundação de sociedade por ações,Abuso na Fundação de Sociedade por Ações
11213,Abuso na prática de aviação,Abuso na Prática de Aviação
11214,Abuso sexual,Abuso Sexual
11215,Academia de ginástica,Academia de Ginástica
11216,Academia militar,Academia Militar
11217,Acareação,Acareação
11218,Accessio temporis,Accessio Temporis
11219,Aceitação,Aceitação
11220,Aceitação (direito civil),Aceitação (Direito Civil)
11221,Aceitação expressa,Aceitação Expressa
11222,Aceitação presumida,Aceitação Presumida
11223,Aceitação tácita,Aceitação Tácita
11224,Aceite,Aceite
11225,Acessibilidade,Acessibilidade
11226,Acesso,Acesso
11227,Acesso à informação,Acesso à Informação
11228,Acessão,Acessão
11229,Acessão intelectual,Acessão Intelectual
11230,Acidentado,Acidentado
11231,Acidente,Acidente
11232,Acidente aeronáutico,Acidente Aeronáutico
11233,Acidente de consumo,Acidente de Consumo
11234,Acidente de trânsito,Acidente de Trânsito
11235,Acidente do trabalho,Acidente do Trabalho
11236,Acidente em serviço,Acidente em Serviço
