id,label
11161,Abandono de função
11161,Abandono do cargo
11159,Abandono do processo
11159,Abandono de causa
11174,Resultado diverso do pretendido
11174,Aberratio criminis
11175,Erro na execução
11175,Erro de execução
11180,Furto de gado
11180,Abacto
11180,Furto de animal
11180,Furto de semovente
11861,Associação brasileira de normas técnicas
11861,Abnt
11184,Adicional de permanência
11184,Abono de permanência
11186,Abono de férias
11186,Abono pecuniário de férias
11187,Abono assiduidade
11187,Abono-assiduidade
11201,Incorporação de crime
11201,Absorção do crime
12192,Ação de anulação
12192,Anulatória
12240,Ação de demarcação
12240,Demarcatória
12240,Ação de demarcação de terras
12214,Ação expropriatória
12214,Ação desapropriatória
12214,Desapropriatória
12214,Expropriatória
12238,Adcon
12238,Adc
12269,Ação de reivindicação
12269,Reivindicatória
12269,Ação de reivindicação de coisa
12273,Ação pauliana
12273,Ação revogatória
11259,Acordo de dupla tributação
11259,Acordo para evitar bitributação
11971,Ato das disposições constitucionais transitórias
11971,Disposições constitucionais transitórias
11971,Adct
11293,Terço constitucional de férias
11293,Gratificação de férias
11303,Apj
11303,Adicional de padrão judiciário
11314,Gratificação adicional por tempo de serviço
11314,Gratificação por tempo de serviço
11314,Adicional de tempo de serviço
11289,Adicional ao frete para renovação da marinha mercante
11289,Afrmm
12032,Auditor fiscal do tesouro nacional
12032,Aftn
12089,Agente do crime
12089,Autor do delito
11364,Advocacia-geral da união
11364,Agu
21069,Síndrome de imunodeficiência adquirida
21069,Síndrome da imunodeficiência adquirida
21069,Sida
21069,Aids
11300,Adicional de indenização do trabalhador portuário avulso
11300,Aitp
11875,Associação latino-americana de integração
11875,Aladi
11578,Amostra comercial gratuita
11578,Amostra sem valor comercial
11462,Agência nacional de telecomunicações
11462,Anatel
11877,Associação nacional dos bancos de investimento e desenvolvimento
11877,Anbid
11460,Aneel
11460,Agência nacional de energia elétrica
11630,Contribuição anual
11630,Prestação anual
11630,Pagamento anual
22042,Apa
22042,Área de proteção ambiental
11849,Assistência judiciária gratuita
11849,Justiça gratuita
11849,Assistência judiciária aos necessitados
11849,Assistência jurídica
11931,Atividade pastoril
11931,Pecuária
11309,Atp
11309,Adicional de tarifa portuária
12078,Autoaplicação
12078,Auto-aplicação
12078,Auto-aplicabilidade
12313,Banco central do brasil
12313,Bacen
12313,Banco central (bacen)
12313,Banco central
12397,Benefícios fiscais a programas especiais de exportação
12397,Befiex
12340,Coisa alienada
12340,Coisa vendida
12340,Bem vendido
12322,Banco nacional de crédito cooperativo
12322,Bncc
12322,Banco nacional de crédito cooperativo s.a.
12323,Banco nacional de desenvolvimento econômico e social
12323,Bndes
12324,Banco nacional de habitação
12324,Banco nacional da habitação
12324,Bnh
12429,Bmf
12429,Bm&f
12451,Bônus do tesouro nacional
12451,Btn
13398,Carteira de comércio exterior do banco do brasil s.a.
13398,Cacex
13398,Consultoria e assessoria em comércio exterior
13398,Carteira de exportação e importação do banco do brasil s.a.
12463,Cpf
12463,Cadastro de pessoas físicas
13261,Conselho administrativo de defesa econômica
13261,Cade
12478,Caderneta de depósito
12478,Poupança
12468,Cadastro informativo dos créditos de órgãos e entidades federais não-quitados
12468,Cadastro informativo de créditos não quitados do setor público federal (cadin)
12468,Cadastro informativo de créditos não quitados (cadin)
12468,Cadin
12464,Cadastro fiscal de imóveis rurais
12464,Cafir
12489,Cef
12489,Caixa econômica federal
12573,Carta de fretamento
12573,Carta-partida
12747,Certificado de depósito bancário
12747,Cdb
13289,Conselho estadual de previdência social
13289,Ceps
13004,Comissão especial de recursos
13004,Cer
12727,Certidão da dívida ativa
12727,Cda
12727,Certidão de dívida ativa
12736,Cnd
12736,Certidão negativa de débito
12737,Certidão positiva de débito
12737,Cpd
12796,Cheque sem provisão de fundos
12796,Cheque sem suficiência de fundos
12805,Fumo
12805,Tabaco
12807,Quinquídio
12807,05 dias
13366,Consolidação das leis da previdência social
13366,Clps
13367,Consolidação das leis do trabalho
13367,Clt
13303,Conselho monetário nacional
13303,Cmn
13304,Conselho municipal de previdência social
13304,Cmps
13010,Comissão nacional de energia nuclear
13010,Cnen
13318,Conselho nacional de previdência social
13318,Cnps
13320,Conselho nacional de seguros privados
13320,Conselho nacional do seguro privado (cnsp)
13320,Cnsp
13307,Conselho nacional da seguridade social
13307,Cnss
13265,Conselho coordenador do ensino da pesquisa e da extensão
13265,Cocep
13968,Cdc
13968,Codecon
13968,Código de defesa do consumidor
13982,Cnt
13982,Código nacional de trânsito
13297,Conselho federal de fisioterapia e terapia ocupacional
13297,Coffito
13532,Confins
13532,Contribuição para financiamento da seguridade social
13532,Contribuição para financiamento da seguridade social (cofins)
13532,Cofins
13532,Contribuição para o financiamento da seguridade social
13031,Companhia de habitação popular
13031,Cohab
12930,Res derelictae
12930,Res derelicta
13011,Cpi
13011,Comissão parlamentar de inquérito
13044,Compensação de tributo
13044,Compensação do crédito tributário
13044,Compensação tributária
13073,Competência em razão do lugar
13073,Competência ratione loci
13034,Conselho nacional de abastecimento
13034,Conab
13034,Companhia nacional de abastecimento
13324,Conselho nacional do meio ambiente
13324,Conama
13326,Conselho nacional dos direitos da criança e adolescente
13326,Conselho nacional dos direitos da criança e do adolescente
13326,Conanda
13309,Conselho nacional de cinema
13309,Concine
13194,Situação econômica
13194,Condição financeira
13194,Situação financeira
13295,Conselho federal de engenharia arquitetura e agronomia
13295,Confea
13295,Conselho federal de engenharia e agronomia
13220,Contag
13220,Confederação dos trabalhadores da agricultura
13314,"Conselho nacional de metrologia, normatização e qualidade industrial"
13314,Conmetro
13281,Cpa
13281,Conselho de política aduaneira
13292,Cofeci
13292,Conselho federal de corretores de imóveis
13330,Cra
13330,Conselho regional de administração
13331,Crc
13331,Conselho regional de contabilidade
13332,Creci
13332,Conselho regional de corretores de imóveis
13335,Coren
13335,Conselho regional de enfermagem
13338,Crefito
13338,Conselho regional de fisioterapia e terapia ocupacional
13344,Crq
13344,Conselho regional de química
13345,Core
13345,Conselho regional de representantes comerciais
13356,Consuni
13356,Conselho universitário
13434,Conteiner
13434,Containers
13322,Conselho nacional de trânsito
13322,Contran
13585,Divórcio indireto
13585,Conversão de separação em divórcio
13333,Conselho regional de economia
13333,Corecon
13626,Corregedor geral da justiça
13626,Corregedor-geral da justiça
13626,Corregedor-geral de justiça
13669,Quota-parte
13669,Quinhão
13336,Conselho regional de engenharia arquitetura e agronomia
13336,Creaa
13336,Crea
13336,Conselho regional de engenharia e agronomia
13337,Crf
13337,Conselho regional de farmácia
13691,Ato criminoso
13691,Ato delituoso
13722,Crime tributário
13722,Ilícito tributário
13722,Delito tributário
13831,Método trifásico
13831,Sistema trifásico
13340,Conselho regional de medicina
13340,Crm
13342,Conselho regional de odontologia
13342,Cro
13343,Conselho regional de psicologia
13343,Crp
13347,Conselho regional do trabalho marítimo
13347,Crtm
12588,Ctps
12588,Carteira de trabalho e previdência social
13930,Custo unitário básico
13930,Cub
13003,Comissão de valores mobiliários
13003,Cvm
14618,Direção e assessoramento intermediário
14618,Direção e assistência intermediária
14618,Dai
14618,Encargo de direção ou assistência intermediária
14739,Documento de arrecadação de receitas federais
14739,Darf
14617,Direção e assessoramento superior
14617,Das
14614,Diretório central de estudantes
14614,Dce
14614,Diretório central dos estudantes
14028,Falecido
14028,Morto
14211,Departamento de comércio exterior
14211,Decex
14211,Departamento de operações de comércio exterior
14037,Sentença citra petita
14037,Julgamento citra petita
14043,Sentença extra petita
14043,Julgamento extra petita
14057,Sentença ultra petita
14057,Julgamento ultra petita
14057,Decisão além do pedido
14057,Julgamento além do pedido
14057,Sentença além do pedido
14090,Declaração incidenter tantum
14090,Declaração incidental
14168,Fato delituoso
14168,Infração penal
14222,Departamento nacional de trânsito
14222,Denatran
14193,Nomen juris
14193,Nomen iuris
14223,Dnaee
14223,Departamento nacional de águas e  energia elétrica
14221,Dnta
14221,Departamento nacional de transportes aquaviários
16512,Desconsideração da pessoa jurídica
16512,Disregard of legal entity
16512,Lifting the corporate veil
14318,Rescisão de julgado
14318,Desconstituição do julgado
14318,Rescisão do julgado
14323,Erro de tipo permissivo
14323,Erro sui generis
14323,Eximente putativa
14213,Departamento de trânsito
14213,Detran
14213,Departamento estadual de trânsito
14213,Departamento de trânsito (detran)
14456,Decêndio
